Start to record CBF use ratio, in 2026.02.28 20: 15: 38

0:  0.2625%, max:  1.6924e-01, min:  0.0000e+00, mean:  3.6388e-04, non_zero_mean:  8.0542e-04, 50%:  7.3016e-07, 75%:  4.4957e-04, 90%:  6.5701e-04, 95%:  8.9397e-04, 99%:  1.2172e-03
1:  0.3113%, max:  1.6438e-01, min:  0.0000e+00, mean:  4.2744e-04, non_zero_mean:  8.8036e-04, 50%:  8.9407e-07, 75%:  4.8400e-04, 90%:  7.4317e-04, 95%:  9.8744e-04, 99%:  1.3104e-03
2:  0.1099%, max:  9.5037e-02, min:  0.0000e+00, mean:  3.1203e-04, non_zero_mean:  6.0222e-04, 50%:  1.1474e-06, 75%:  5.1388e-04, 90%:  8.2011e-04, 95%:  1.0303e-03, 99%:  1.3275e-03
3:  0.0610%, max:  1.1889e-01, min:  0.0000e+00, mean:  2.9161e-04, non_zero_mean:  5.6032e-04, 50%:  1.1474e-06, 75%:  5.3287e-04, 90%:  8.4305e-04, 95%:  1.0573e-03, 99%:  1.3765e-03
4:  0.0000%, max:  1.9364e-03, min:  0.0000e+00, mean:  3.0649e-04, non_zero_mean:  5.3521e-04, 50%:  1.7732e-06, 75%:  5.8681e-04, 90%:  9.5174e-04, 95%:  1.1402e-03, 99%:  1.4161e-03
5:  0.0427%, max:  1.0938e-01, min:  0.0000e+00, mean:  3.0676e-04, non_zero_mean:  5.5897e-04, 50%:  1.4156e-06, 75%:  5.4588e-04, 90%:  9.1458e-04, 95%:  1.1088e-03, 99%:  1.4066e-03
6:  0.0977%, max:  1.0280e-01, min:  0.0000e+00, mean:  3.6710e-04, non_zero_mean:  6.1350e-04, 50%:  2.3171e-06, 75%:  6.0237e-04, 90%:  9.7292e-04, 95%:  1.1428e-03, 99%:  1.4418e-03
7:  0.1404%, max:  1.9810e-01, min:  0.0000e+00, mean:  4.5534e-04, non_zero_mean:  6.9573e-04, 50%:  2.8538e-04, 75%:  6.6074e-04, 90%:  1.0397e-03, 95%:  1.2234e-03, 99%:  1.5059e-03
8:  0.0488%, max:  1.1289e-01, min:  0.0000e+00, mean:  4.1475e-04, non_zero_mean:  6.3506e-04, 50%:  2.4304e-05, 75%:  6.8708e-04, 90%:  1.0619e-03, 95%:  1.2315e-03, 99%:  1.5078e-03
9:  0.0793%, max:  1.4368e-01, min:  0.0000e+00, mean:  3.8699e-04, non_zero_mean:  6.3438e-04, 50%:  2.7142e-06, 75%:  6.2922e-04, 90%:  1.0348e-03, 95%:  1.2231e-03, 99%:  1.5272e-03
10:  0.0916%, max:  1.1171e-01, min:  0.0000e+00, mean:  4.0348e-04, non_zero_mean:  6.2810e-04, 50%:  4.4405e-06, 75%:  6.7346e-04, 90%:  1.0717e-03, 95%:  1.2511e-03, 99%:  1.5666e-03
11:  0.1526%, max:  1.7464e-01, min:  0.0000e+00, mean:  4.9007e-04, non_zero_mean:  7.3569e-04, 50%:  2.8136e-04, 75%:  6.9994e-04, 90%:  1.0833e-03, 95%:  1.2691e-03, 99%:  1.5630e-03
12:  0.2319%, max:  2.7401e-01, min:  0.0000e+00, mean:  5.1599e-04, non_zero_mean:  8.6973e-04, 50%:  1.7607e-06, 75%:  6.0467e-04, 90%:  1.0207e-03, 95%:  1.2242e-03, 99%:  1.5782e-03
13:  0.2136%, max:  2.1059e-01, min:  0.0000e+00, mean:  4.8399e-04, non_zero_mean:  8.3300e-04, 50%:  1.5497e-06, 75%:  5.6642e-04, 90%:  1.0212e-03, 95%:  1.2289e-03, 99%:  1.5666e-03
14:  0.4150%, max:  1.5307e-01, min:  0.0000e+00, mean:  6.7900e-04, non_zero_mean:  1.0432e-03, 50%:  3.3379e-06, 75%:  7.1216e-04, 90%:  1.1130e-03, 95%:  1.3051e-03, 99%:  1.6778e-03
15:  0.3967%, max:  2.5744e-01, min:  0.0000e+00, mean:  6.5720e-04, non_zero_mean:  9.9706e-04, 50%:  3.0692e-06, 75%:  7.1987e-04, 90%:  1.1100e-03, 95%:  1.3010e-03, 99%:  1.6685e-03
16:  0.4456%, max:  2.0530e-01, min:  0.0000e+00, mean:  6.9222e-04, non_zero_mean:  1.1623e-03, 50%:  1.6224e-06, 75%:  6.0258e-04, 90%:  1.0485e-03, 95%:  1.2674e-03, 99%:  1.6739e-03
17:  0.2197%, max:  1.2827e-01, min:  0.0000e+00, mean:  4.2469e-04, non_zero_mean:  7.1756e-04, 50%:  1.5795e-06, 75%:  5.9310e-04, 90%:  1.1041e-03, 95%:  1.3346e-03, 99%:  1.6745e-03
18:  0.1038%, max:  1.0702e-01, min:  0.0000e+00, mean:  3.8524e-04, non_zero_mean:  6.3267e-04, 50%:  1.7285e-06, 75%:  6.2853e-04, 90%:  1.1449e-03, 95%:  1.3558e-03, 99%:  1.6452e-03
19:  0.0671%, max:  1.1602e-01, min:  0.0000e+00, mean:  3.6524e-04, non_zero_mean:  6.0441e-04, 50%:  1.7136e-06, 75%:  6.4275e-04, 90%:  1.1466e-03, 95%:  1.3648e-03, 99%:  1.6753e-03
20:  0.0000%, max:  6.1549e-03, min:  0.0000e+00, mean:  3.1529e-04, non_zero_mean:  5.2511e-04, 50%:  1.5944e-06, 75%:  6.1522e-04, 90%:  1.1719e-03, 95%:  1.4070e-03, 99%:  1.7194e-03
21:  0.0000%, max:  2.3169e-03, min:  0.0000e+00, mean:  3.5897e-04, non_zero_mean:  5.6439e-04, 50%:  2.0266e-06, 75%:  7.3893e-04, 90%:  1.2403e-03, 95%:  1.4483e-03, 99%:  1.7255e-03
22:  0.0854%, max:  3.0081e-01, min:  0.0000e+00, mean:  5.1799e-04, non_zero_mean:  7.6374e-04, 50%:  2.9467e-06, 75%:  8.8888e-04, 90%:  1.3339e-03, 95%:  1.5416e-03, 99%:  1.8379e-03
23:  0.0488%, max:  1.5605e-01, min:  0.0000e+00, mean:  4.2786e-04, non_zero_mean:  6.4073e-04, 50%:  2.6226e-06, 75%:  8.3346e-04, 90%:  1.2508e-03, 95%:  1.4414e-03, 99%:  1.7414e-03
24:  0.2625%, max:  4.1817e-01, min:  0.0000e+00, mean:  7.2885e-04, non_zero_mean:  1.0596e-03, 50%:  3.2764e-06, 75%:  9.2795e-04, 90%:  1.3301e-03, 95%:  1.5365e-03, 99%:  1.8612e-03
25:  0.5249%, max:  2.9837e-01, min:  0.0000e+00, mean:  1.0307e-03, non_zero_mean:  1.4243e-03, 50%:  5.3048e-06, 75%:  1.0007e-03, 90%:  1.4295e-03, 95%:  1.6313e-03, 99%:  1.9686e-03
26:  0.7812%, max:  3.8175e-01, min:  0.0000e+00, mean:  1.2979e-03, non_zero_mean:  1.8916e-03, 50%:  2.8610e-06, 75%:  9.3855e-04, 90%:  1.3895e-03, 95%:  1.6006e-03, 99%:  2.0422e-03
27:  0.5554%, max:  3.5366e-01, min:  0.0000e+00, mean:  1.1363e-03, non_zero_mean:  1.6608e-03, 50%:  2.8610e-06, 75%:  9.1696e-04, 90%:  1.3887e-03, 95%:  1.6107e-03, 99%:  1.9797e-03
28:  1.1780%, max:  4.0365e-01, min:  0.0000e+00, mean:  2.0529e-03, non_zero_mean:  2.8177e-03, 50%:  5.5283e-06, 75%:  1.0529e-03, 90%:  1.5021e-03, 95%:  1.7299e-03, 99%:  3.5165e-02
29:  0.9705%, max:  3.6830e-01, min:  0.0000e+00, mean:  1.6434e-03, non_zero_mean:  2.2420e-03, 50%:  5.2303e-06, 75%:  1.0420e-03, 90%:  1.4992e-03, 95%:  1.7216e-03, 99%:  4.7135e-03
30:  1.3855%, max:  3.9126e-01, min:  0.0000e+00, mean:  2.4194e-03, non_zero_mean:  3.3100e-03, 50%:  4.7944e-06, 75%:  1.0484e-03, 90%:  1.5352e-03, 95%:  1.7636e-03, 99%:  7.4861e-02
31:  1.8433%, max:  4.0211e-01, min:  0.0000e+00, mean:  4.2702e-03, non_zero_mean:  5.7042e-03, 50%:  6.6394e-06, 75%:  1.1126e-03, 90%:  1.5979e-03, 95%:  1.8422e-03, 99%:  1.8673e-01
32:  1.5747%, max:  4.2649e-01, min:  0.0000e+00, mean:  2.8449e-03, non_zero_mean:  3.8802e-03, 50%:  5.2452e-06, 75%:  1.0518e-03, 90%:  1.5393e-03, 95%:  1.7737e-03, 99%:  8.8044e-02
33:  2.6306%, max:  4.1083e-01, min:  0.0000e+00, mean:  6.1398e-03, non_zero_mean:  8.4945e-03, 50%:  4.2915e-06, 75%:  1.0260e-03, 90%:  1.5472e-03, 95%:  1.8326e-03, 99%:  2.7413e-01
34:  4.0527%, max:  3.9714e-01, min:  0.0000e+00, mean:  9.0257e-03, non_zero_mean:  1.2487e-02, 50%:  4.1164e-06, 75%:  1.0469e-03, 90%:  1.6204e-03, 95%:  1.9821e-03, 99%:  3.0553e-01
35:  1.6479%, max:  3.8686e-01, min:  0.0000e+00, mean:  2.9408e-03, non_zero_mean:  4.1303e-03, 50%:  3.7849e-06, 75%:  1.0019e-03, 90%:  1.4916e-03, 95%:  1.7559e-03, 99%:  1.0562e-01
36:  2.6794%, max:  4.1055e-01, min:  0.0000e+00, mean:  5.0683e-03, non_zero_mean:  6.9661e-03, 50%:  4.4107e-06, 75%:  1.0374e-03, 90%:  1.5575e-03, 95%:  1.8485e-03, 99%:  2.0248e-01
37:  3.0640%, max:  5.0734e-01, min:  0.0000e+00, mean:  6.4611e-03, non_zero_mean:  9.1930e-03, 50%:  3.2783e-06, 75%:  9.8578e-04, 90%:  1.5298e-03, 95%:  1.8545e-03, 99%:  2.7012e-01
38:  2.3193%, max:  4.0131e-01, min:  0.0000e+00, mean:  4.4327e-03, non_zero_mean:  6.5145e-03, 50%:  2.6822e-06, 75%:  9.2606e-04, 90%:  1.4611e-03, 95%:  1.7426e-03, 99%:  1.8158e-01
39:  2.6245%, max:  3.9593e-01, min:  0.0000e+00, mean:  5.3838e-03, non_zero_mean:  7.5448e-03, 50%:  3.6359e-06, 75%:  1.0380e-03, 90%:  1.5867e-03, 95%:  1.8783e-03, 99%:  2.2321e-01
40:  2.4414%, max:  4.0108e-01, min:  0.0000e+00, mean:  4.8827e-03, non_zero_mean:  6.9261e-03, 50%:  3.3712e-06, 75%:  1.0124e-03, 90%:  1.5658e-03, 95%:  1.8563e-03, 99%:  1.9963e-01
41:  2.7405%, max:  3.8386e-01, min:  0.0000e+00, mean:  4.5862e-03, non_zero_mean:  6.8820e-03, 50%:  2.3246e-06, 75%:  9.1205e-04, 90%:  1.5128e-03, 95%:  1.8227e-03, 99%:  1.8354e-01
42:  2.4231%, max:  3.8856e-01, min:  0.0000e+00, mean:  3.5886e-03, non_zero_mean:  5.4278e-03, 50%:  2.2054e-06, 75%:  9.1087e-04, 90%:  1.5614e-03, 95%:  1.8465e-03, 99%:  1.4834e-01
43:  2.9907%, max:  3.9172e-01, min:  0.0000e+00, mean:  5.5357e-03, non_zero_mean:  8.4289e-03, 50%:  2.2650e-06, 75%:  8.7729e-04, 90%:  1.4869e-03, 95%:  1.8456e-03, 99%:  2.2544e-01
44:  2.9175%, max:  3.4134e-01, min:  0.0000e+00, mean:  4.8547e-03, non_zero_mean:  7.4984e-03, 50%:  2.1458e-06, 75%:  8.5606e-04, 90%:  1.5428e-03, 95%:  1.8708e-03, 99%:  1.9169e-01
45:  1.9592%, max:  3.5225e-01, min:  0.0000e+00, mean:  3.0517e-03, non_zero_mean:  4.6092e-03, 50%:  2.3246e-06, 75%:  8.7199e-04, 90%:  1.4789e-03, 95%:  1.7623e-03, 99%:  1.2361e-01
46:  2.0996%, max:  3.4723e-01, min:  0.0000e+00, mean:  4.3896e-03, non_zero_mean:  6.3457e-03, 50%:  2.8014e-06, 75%:  9.7231e-04, 90%:  1.5413e-03, 95%:  1.8404e-03, 99%:  2.0839e-01
47:  1.0071%, max:  3.3668e-01, min:  0.0000e+00, mean:  2.1217e-03, non_zero_mean:  3.0531e-03, 50%:  2.8252e-06, 75%:  9.7217e-04, 90%:  1.5613e-03, 95%:  1.8378e-03, 99%:  1.0248e-02
48:  0.5798%, max:  3.2971e-01, min:  0.0000e+00, mean:  1.3334e-03, non_zero_mean:  1.8898e-03, 50%:  2.9206e-06, 75%:  9.9293e-04, 90%:  1.5959e-03, 95%:  1.8512e-03, 99%:  2.2042e-03
49:  0.1892%, max:  2.5174e-01, min:  0.0000e+00, mean:  7.3640e-04, non_zero_mean:  9.9203e-04, 50%:  4.5300e-06, 75%:  1.0553e-03, 90%:  1.5639e-03, 95%:  1.8112e-03, 99%:  2.1884e-03
50:  0.0305%, max:  1.1515e-01, min:  0.0000e+00, mean:  4.9681e-04, non_zero_mean:  6.8046e-04, 50%:  3.5167e-06, 75%:  1.0029e-03, 90%:  1.5802e-03, 95%:  1.8287e-03, 99%:  2.1595e-03
51:  0.0244%, max:  1.6584e-01, min:  0.0000e+00, mean:  5.0064e-04, non_zero_mean:  6.7963e-04, 50%:  3.6359e-06, 75%:  1.0020e-03, 90%:  1.6078e-03, 95%:  1.8594e-03, 99%:  2.1937e-03
52:  0.0427%, max:  1.7836e-01, min:  0.0000e+00, mean:  5.2333e-04, non_zero_mean:  6.9518e-04, 50%:  4.3362e-06, 75%:  1.0388e-03, 90%:  1.6972e-03, 95%:  1.9719e-03, 99%:  2.3091e-03
53:  0.0427%, max:  3.8699e-01, min:  0.0000e+00, mean:  5.6560e-04, non_zero_mean:  7.4620e-04, 50%:  4.2645e-06, 75%:  1.0213e-03, 90%:  1.6000e-03, 95%:  1.8849e-03, 99%:  2.2557e-03
54:  0.0916%, max:  3.2036e-01, min:  0.0000e+00, mean:  6.1045e-04, non_zero_mean:  8.0981e-04, 50%:  4.2878e-06, 75%:  1.0498e-03, 90%:  1.6781e-03, 95%:  1.9425e-03, 99%:  2.3020e-03
55:  0.0366%, max:  2.5923e-01, min:  0.0000e+00, mean:  5.5883e-04, non_zero_mean:  7.3899e-04, 50%:  4.1537e-06, 75%:  1.0027e-03, 90%:  1.6551e-03, 95%:  1.9321e-03, 99%:  2.3020e-03
56:  0.4395%, max:  3.6530e-01, min:  0.0000e+00, mean:  1.0910e-03, non_zero_mean:  1.3711e-03, 50%:  7.8529e-06, 75%:  1.0684e-03, 90%:  1.6802e-03, 95%:  1.9739e-03, 99%:  2.4299e-03
57:  0.6653%, max:  4.5190e-01, min:  0.0000e+00, mean:  1.3648e-03, non_zero_mean:  1.7251e-03, 50%:  6.4969e-06, 75%:  1.0919e-03, 90%:  1.7166e-03, 95%:  2.0491e-03, 99%:  2.5899e-03
58:  1.3550%, max:  5.1646e-01, min:  0.0000e+00, mean:  1.9034e-03, non_zero_mean:  2.3411e-03, 50%:  7.7374e-06, 75%:  1.1247e-03, 90%:  1.8036e-03, 95%:  2.1300e-03, 99%:  3.6223e-02
59:  1.3367%, max:  3.3732e-01, min:  0.0000e+00, mean:  1.5704e-03, non_zero_mean:  1.9621e-03, 50%:  5.9605e-06, 75%:  1.0612e-03, 90%:  1.7811e-03, 95%:  2.1340e-03, 99%:  3.2018e-02
60:  2.2156%, max:  3.2688e-01, min:  0.0000e+00, mean:  2.7305e-03, non_zero_mean:  3.3821e-03, 50%:  6.8545e-06, 75%:  1.1151e-03, 90%:  1.8053e-03, 95%:  2.1946e-03, 99%:  9.1031e-02
61:  3.5767%, max:  4.3748e-01, min:  0.0000e+00, mean:  5.2770e-03, non_zero_mean:  6.4496e-03, 50%:  9.5293e-06, 75%:  1.1887e-03, 90%:  1.9403e-03, 95%:  2.4101e-03, 99%:  1.7376e-01
