Write in 2026.02.28 20: 15: 38

Rewards: 
-------------------------------------------------------------------------
|                idx                |               value               |
-------------------------------------------------------------------------
|                 0                 |              35.8299              |
|                 1                 |              36.8974              |
|                 2                 |              34.4273              |
|                 3                 |              35.409               |
|                 4                 |              50.1131              |
|                 5                 |              38.0398              |
|                 6                 |              36.0609              |
|                 7                 |              56.5989              |
|                 8                 |              66.6704              |
|                 9                 |              29.8206              |
|                10                 |              49.8181              |
|                11                 |              42.3567              |
|                12                 |              37.4717              |
|                13                 |             111.6746              |
|                14                 |              31.8506              |
|                15                 |              54.5228              |
|                16                 |             109.3602              |
|                17                 |             108.4427              |
|                18                 |             116.2556              |
|                19                 |             116.4649              |
|                20                 |             119.1722              |
|                21                 |              79.7195              |
|                22                 |             120.4718              |
|                23                 |             113.9077              |
|                24                 |              99.7062              |
|                25                 |             117.6017              |
|                26                 |              93.8363              |
|                27                 |             123.8341              |
|                28                 |             125.1919              |
|                29                 |             123.0636              |
|                30                 |             172.1898              |
|                31                 |             109.1837              |
|                32                 |             120.4224              |
|                33                 |             108.3837              |
|                34                 |             106.7231              |
|                35                 |             113.2634              |
|                36                 |             108.8973              |
|                37                 |             110.5997              |
|                38                 |             115.8137              |
|                39                 |             111.2396              |
|                40                 |             125.4831              |
|                41                 |             108.1203              |
|                42                 |             147.0641              |
|                43                 |             118.0738              |
|                44                 |              94.5848              |
|                45                 |             124.7747              |
|                46                 |              85.804               |
|                47                 |              72.7752              |
|                48                 |              97.148               |
|                49                 |              67.6363              |
|                50                 |              60.7673              |
|                51                 |              74.6203              |
|                52                 |              52.4159              |
|                53                 |              61.2743              |
|                54                 |              47.2579              |
|                55                 |              46.2924              |
|                56                 |              46.2747              |
|                57                 |              54.2841              |
|                58                 |              78.9031              |
|                59                 |              51.206               |
|                60                 |              53.9941              |
|                61                 |              48.9942              |
|                62                 |              51.5709              |
|                63                 |              51.3519              |
|                64                 |              55.3143              |
|                65                 |             166.3046              |
|                66                 |              73.1497              |
|                67                 |              44.6574              |
|                68                 |              57.4812              |
|                69                 |              64.7565              |
|                70                 |              48.1151              |
|                71                 |              57.8339              |
|                72                 |              47.4926              |
|                73                 |              40.351               |
|                74                 |              36.3383              |
|                75                 |              30.7429              |
|                76                 |              48.3118              |
|                77                 |              32.9218              |
|                78                 |              44.1038              |
|                79                 |              48.884               |
|                80                 |              43.6689              |
|                81                 |              53.3982              |
|                82                 |              48.3189              |
|                83                 |              83.6679              |
|                84                 |              58.5001              |
|                85                 |              58.0683              |
|                86                 |              50.2398              |
|                87                 |             105.1948              |
|                88                 |              46.5485              |
|                89                 |              47.4977              |
|                90                 |              51.4507              |
|                91                 |              52.665               |
|                92                 |              65.7567              |
|                93                 |              51.0237              |
|                94                 |              55.2011              |
|                95                 |              57.0813              |
|                96                 |              58.4751              |
|                97                 |              50.9112              |
|                98                 |              137.665              |
|                99                 |              53.8813              |
-------------------------------------------------------------------------
|            best reward            |             172.1898              |
-------------------------------------------------------------------------

Sample & Train's time recorded: 
 737.0000min  23.0248s
