Start to record CBF use ratio, in 2026.02.27 12: 18: 28

0:  0.1282%, max:  7.9568e-02, min:  0.0000e+00, mean:  2.0642e-04, non_zero_mean:  5.4346e-04, 50%:  4.8848e-07, 75%:  3.9370e-04, 90%:  5.3696e-04, 95%:  6.0546e-04, 99%:  8.0574e-04
1:  0.0854%, max:  7.9572e-02, min:  0.0000e+00, mean:  1.7590e-04, non_zero_mean:  4.9765e-04, 50%:  4.3958e-07, 75%:  3.0036e-04, 90%:  5.3343e-04, 95%:  5.9213e-04, 99%:  8.2704e-04
2:  0.0671%, max:  5.6317e-02, min:  0.0000e+00, mean:  1.9057e-04, non_zero_mean:  4.2861e-04, 50%:  7.1526e-07, 75%:  4.1106e-04, 90%:  5.5471e-04, 95%:  6.2280e-04, 99%:  1.0793e-03
3:  0.0000%, max:  2.4964e-03, min:  0.0000e+00, mean:  2.1360e-04, non_zero_mean:  4.0780e-04, 50%:  1.1772e-06, 75%:  4.6413e-04, 90%:  5.8131e-04, 95%:  6.4347e-04, 99%:  1.2737e-03
4:  0.0061%, max:  1.8361e-02, min:  0.0000e+00, mean:  2.3501e-04, non_zero_mean:  4.1889e-04, 50%:  1.6112e-06, 75%:  4.7549e-04, 90%:  6.0351e-04, 95%:  6.7210e-04, 99%:  1.4558e-03
5:  0.0000%, max:  6.5732e-03, min:  0.0000e+00, mean:  2.5046e-04, non_zero_mean:  4.2388e-04, 50%:  2.0564e-06, 75%:  4.8794e-04, 90%:  6.0954e-04, 95%:  8.4289e-04, 99%:  1.5778e-03
6:  0.0122%, max:  1.6521e-01, min:  0.0000e+00, mean:  2.9342e-04, non_zero_mean:  4.7196e-04, 50%:  3.0249e-06, 75%:  5.0906e-04, 90%:  6.3882e-04, 95%:  9.9859e-04, 99%:  1.7190e-03
7:  0.0061%, max:  1.8471e-02, min:  0.0000e+00, mean:  2.7560e-04, non_zero_mean:  4.3722e-04, 50%:  2.9802e-06, 75%:  4.9833e-04, 90%:  6.3294e-04, 95%:  1.0191e-03, 99%:  1.7560e-03
8:  0.0000%, max:  2.7376e-03, min:  0.0000e+00, mean:  3.0505e-04, non_zero_mean:  4.5023e-04, 50%:  5.4911e-06, 75%:  5.3082e-04, 90%:  6.5828e-04, 95%:  1.1733e-03, 99%:  1.8845e-03
9:  0.0122%, max:  2.3115e-02, min:  0.0000e+00, mean:  3.5580e-04, non_zero_mean:  5.0466e-04, 50%:  3.2296e-04, 75%:  5.3500e-04, 90%:  8.9756e-04, 95%:  1.3526e-03, 99%:  2.0142e-03
10:  0.0122%, max:  5.8965e-02, min:  0.0000e+00, mean:  3.3600e-04, non_zero_mean:  4.8809e-04, 50%:  8.2403e-06, 75%:  5.3364e-04, 90%:  8.4870e-04, 95%:  1.2788e-03, 99%:  1.9796e-03
11:  0.0427%, max:  1.2710e-01, min:  0.0000e+00, mean:  3.7477e-04, non_zero_mean:  5.3273e-04, 50%:  1.3377e-04, 75%:  5.3420e-04, 90%:  8.9036e-04, 95%:  1.3637e-03, 99%:  2.0588e-03
12:  0.1648%, max:  1.3166e-01, min:  0.0000e+00, mean:  4.8214e-04, non_zero_mean:  6.4030e-04, 50%:  3.8863e-04, 75%:  5.6333e-04, 90%:  1.0890e-03, 95%:  1.5184e-03, 99%:  2.1377e-03
