Write in 2026.03.01 08: 36: 47

Rewards: 
-------------------------------------------------------------------------
|                idx                |               value               |
-------------------------------------------------------------------------
|                 0                 |              35.8863              |
|                 1                 |              24.449               |
|                 2                 |              29.2596              |
|                 3                 |              34.6522              |
|                 4                 |              31.6542              |
|                 5                 |              27.1236              |
|                 6                 |              28.8723              |
|                 7                 |              32.1939              |
|                 8                 |              31.1912              |
|                 9                 |              28.7883              |
|                10                 |              32.4843              |
|                11                 |              28.4046              |
|                12                 |              25.7387              |
|                13                 |              32.9253              |
|                14                 |              31.8391              |
|                15                 |              31.0189              |
|                16                 |              28.4586              |
|                17                 |              32.1335              |
|                18                 |              17.3762              |
|                19                 |              16.2566              |
|                20                 |              17.7437              |
|                21                 |              17.6309              |
|                22                 |              32.9546              |
|                23                 |              33.8423              |
|                24                 |              38.9641              |
|                25                 |              32.6662              |
|                26                 |              31.5761              |
|                27                 |              38.8309              |
|                28                 |              38.802               |
|                29                 |              38.4414              |
|                30                 |              32.0059              |
|                31                 |              31.455               |
|                32                 |              38.8982              |
|                33                 |              39.569               |
|                34                 |              38.1292              |
|                35                 |              34.4882              |
|                36                 |              31.1896              |
|                37                 |              39.5999              |
|                38                 |              31.1808              |
|                39                 |              39.5569              |
|                40                 |              31.2566              |
|                41                 |              31.3474              |
|                42                 |              21.3789              |
|                43                 |              20.8324              |
|                44                 |              41.1916              |
|                45                 |              37.7343              |
|                46                 |              87.3409              |
|                47                 |              35.0574              |
|                48                 |              24.8657              |
|                49                 |              21.142               |
|                50                 |              21.7542              |
|                51                 |              23.7689              |
|                52                 |              21.1135              |
|                53                 |              95.612               |
|                54                 |              94.4514              |
|                55                 |              70.1178              |
|                56                 |              53.173               |
|                57                 |              100.362              |
|                58                 |             100.3714              |
|                59                 |              94.2812              |
|                60                 |              40.4445              |
|                61                 |              86.6462              |
|                62                 |              105.028              |
|                63                 |             121.8356              |
|                64                 |             107.4421              |
|                65                 |             107.7209              |
|                66                 |              98.0882              |
|                67                 |             108.6151              |
|                68                 |             108.5563              |
-------------------------------------------------------------------------
|            best reward            |             121.8356              |
-------------------------------------------------------------------------
