Write in 2026.02.17 12: 28: 45

Rewards: 
-------------------------------------------------------------------------
|                idx                |               value               |
-------------------------------------------------------------------------
|                 0                 |              15.5087              |
|                 1                 |              17.935               |
|                 2                 |              20.9427              |
|                 3                 |              19.2681              |
|                 4                 |              31.7223              |
|                 5                 |              32.8781              |
|                 6                 |              35.194               |
|                 7                 |              33.2269              |
|                 8                 |              28.753               |
|                 9                 |              39.9217              |
|                10                 |              71.4847              |
|                11                 |              80.0835              |
|                12                 |              72.0588              |
|                13                 |              67.5183              |
|                14                 |              61.6622              |
|                15                 |              92.4061              |
|                16                 |              92.9969              |
|                17                 |              93.571               |
|                18                 |              86.1002              |
|                19                 |              91.491               |
|                20                 |              93.2656              |
|                21                 |              98.2617              |
|                22                 |              102.222              |
|                23                 |             102.9083              |
|                24                 |              98.2989              |
|                25                 |             106.7019              |
|                26                 |             146.8928              |
|                27                 |             113.8534              |
|                28                 |             143.9478              |
|                29                 |             116.9534              |
|                30                 |             117.5109              |
|                31                 |             111.7229              |
|                32                 |              62.1036              |
|                33                 |             105.2136              |
|                34                 |             162.8897              |
|                35                 |             112.4069              |
|                36                 |             114.2702              |
|                37                 |             120.3079              |
|                38                 |             114.9164              |
|                39                 |             122.6031              |
|                40                 |             123.3774              |
|                41                 |             119.3348              |
|                42                 |             111.3841              |
|                43                 |             123.7993              |
|                44                 |             120.9081              |
|                45                 |             124.1324              |
|                46                 |             120.9651              |
|                47                 |             115.5336              |
|                48                 |             125.0102              |
|                49                 |              78.5016              |
|                50                 |             120.7984              |
|                51                 |             106.9127              |
|                52                 |             132.4516              |
|                53                 |             108.4367              |
|                54                 |             120.7506              |
|                55                 |             105.0741              |
|                56                 |              91.1083              |
|                57                 |              86.3481              |
|                58                 |              77.5993              |
|                59                 |              45.5661              |
|                60                 |              91.6708              |
|                61                 |              35.2713              |
|                62                 |              57.418               |
|                63                 |              59.805               |
|                64                 |              79.744               |
|                65                 |              65.6127              |
|                66                 |              59.6349              |
|                67                 |              54.7437              |
|                68                 |              52.9954              |
|                69                 |              53.7488              |
|                70                 |              48.0716              |
|                71                 |             139.2532              |
|                72                 |              53.1792              |
|                73                 |              72.2497              |
|                74                 |              48.5411              |
|                75                 |              55.1125              |
|                76                 |              47.2548              |
|                77                 |              47.3637              |
|                78                 |              59.7638              |
|                79                 |              70.3528              |
|                80                 |             136.6854              |
|                81                 |              55.5311              |
|                82                 |              54.5787              |
|                83                 |              50.1461              |
|                84                 |              59.4673              |
|                85                 |              54.3225              |
|                86                 |              97.3017              |
|                87                 |              39.5646              |
|                88                 |              32.8804              |
|                89                 |              126.094              |
|                90                 |              60.8936              |
|                91                 |              60.7758              |
|                92                 |              53.7853              |
|                93                 |              63.154               |
|                94                 |              48.3269              |
|                95                 |              57.7223              |
|                96                 |              49.379               |
|                97                 |              56.5077              |
|                98                 |              52.9293              |
|                99                 |              58.4357              |
-------------------------------------------------------------------------
|            best reward            |             162.8897              |
-------------------------------------------------------------------------

Sample & Train's time recorded: 
 415.0000min  1.9023s
