Write in 2026.02.18 02: 11: 24

Rewards: 
-------------------------------------------------------------------------
|                idx                |               value               |
-------------------------------------------------------------------------
|                 0                 |              6.8272               |
|                 1                 |              10.5491              |
|                 2                 |              5.9896               |
|                 3                 |              4.9825               |
|                 4                 |              4.0109               |
|                 5                 |              3.3509               |
|                 6                 |              35.9404              |
|                 7                 |              39.8675              |
|                 8                 |              35.5458              |
|                 9                 |              39.2531              |
|                10                 |              8.2711               |
|                11                 |              19.0894              |
|                12                 |              14.7889              |
|                13                 |              19.876               |
|                14                 |              24.7007              |
|                15                 |              42.8609              |
|                16                 |              19.9212              |
|                17                 |              47.9082              |
|                18                 |              27.6539              |
|                19                 |              28.4504              |
|                20                 |              29.6447              |
|                21                 |              59.0688              |
|                22                 |              29.0089              |
|                23                 |              15.4483              |
|                24                 |              17.0004              |
|                25                 |              29.1117              |
|                26                 |              19.7506              |
|                27                 |              54.4657              |
|                28                 |              20.1902              |
|                29                 |              25.0783              |
|                30                 |              22.4595              |
|                31                 |              33.5353              |
|                32                 |              36.2766              |
|                33                 |              32.3731              |
|                34                 |              31.0981              |
|                35                 |              32.1962              |
|                36                 |              26.8182              |
|                37                 |              37.0462              |
|                38                 |              39.8194              |
|                39                 |              41.3462              |
|                40                 |              60.2028              |
|                41                 |              42.2174              |
|                42                 |              44.2953              |
|                43                 |              44.5972              |
|                44                 |              45.9906              |
|                45                 |              45.0597              |
|                46                 |              44.7165              |
|                47                 |              43.7702              |
|                48                 |              42.5231              |
|                49                 |              45.9808              |
|                50                 |             170.6599              |
|                51                 |              41.7358              |
|                52                 |              49.1254              |
|                53                 |              48.4344              |
|                54                 |              41.9492              |
|                55                 |              44.6595              |
|                56                 |              44.2012              |
|                57                 |             167.6098              |
|                58                 |             172.5633              |
|                59                 |             178.4948              |
|                60                 |             186.3835              |
|                61                 |              187.084              |
|                62                 |              60.8353              |
|                63                 |             183.4068              |
|                64                 |             185.2891              |
|                65                 |             187.3268              |
|                66                 |             135.3589              |
|                67                 |             188.7541              |
|                68                 |             190.8908              |
|                69                 |             185.9969              |
|                70                 |              190.386              |
|                71                 |             188.5069              |
|                72                 |             184.4388              |
|                73                 |             186.8621              |
|                74                 |             186.7302              |
|                75                 |             185.5371              |
|                76                 |             185.3754              |
|                77                 |              61.4824              |
|                78                 |             184.6457              |
|                79                 |              62.818               |
|                80                 |             190.2086              |
|                81                 |             188.1599              |
|                82                 |             190.4532              |
|                83                 |             191.8094              |
|                84                 |             192.8349              |
|                85                 |             187.4949              |
|                86                 |             192.0384              |
|                87                 |              90.6114              |
|                88                 |             193.9377              |
|                89                 |             190.5461              |
|                90                 |              189.833              |
|                91                 |              184.581              |
|                92                 |             188.8568              |
|                93                 |             192.4297              |
|                94                 |             190.5179              |
|                95                 |             187.7438              |
|                96                 |             188.4531              |
|                97                 |             191.5118              |
|                98                 |             190.8582              |
|                99                 |             192.0458              |
-------------------------------------------------------------------------
|            best reward            |             193.9377              |
-------------------------------------------------------------------------

Sample & Train's time recorded: 
 161.0000min  39.1654s
