Start to record CBF use ratio, in 2025.12.30 21: 20: 27

0:  0.2197%, max:  1.5689e-01, min:  1.8596e-28, mean:  7.3157e-04, non_zero_mean:  7.5549e-04, 50%:  6.0022e-04, 75%:  7.8338e-04, 90%:  9.7495e-04, 95%:  1.0954e-03, 99%:  1.3592e-03
1:  0.2136%, max:  1.2906e-01, min:  7.9936e-15, mean:  7.6788e-04, non_zero_mean:  7.8205e-04, 50%:  6.5372e-04, 75%:  8.6651e-04, 90%:  1.0767e-03, 95%:  1.2163e-03, 99%:  1.5015e-03
2:  0.2075%, max:  2.4591e-01, min:  5.6116e-21, mean:  9.2859e-04, non_zero_mean:  9.3815e-04, 50%:  7.4588e-04, 75%:  9.7059e-04, 90%:  1.1980e-03, 95%:  1.3397e-03, 99%:  1.6287e-03
3:  0.0366%, max:  7.9471e-02, min:  3.1876e-17, mean:  8.5303e-04, non_zero_mean:  8.5821e-04, 50%:  8.0629e-04, 75%:  1.0470e-03, 90%:  1.2935e-03, 95%:  1.4397e-03, 99%:  1.7305e-03
4:  0.0000%, max:  2.2034e-03, min:  1.1879e-14, mean:  9.2913e-04, non_zero_mean:  9.3215e-04, 50%:  9.0893e-04, 75%:  1.1726e-03, 90%:  1.4314e-03, 95%:  1.5871e-03, 99%:  1.8545e-03
5:  0.0000%, max:  2.5686e-03, min:  0.0000e+00, mean:  9.7131e-04, non_zero_mean:  9.7470e-04, 50%:  9.4862e-04, 75%:  1.2260e-03, 90%:  1.4897e-03, 95%:  1.6698e-03, 99%:  1.9683e-03
6:  0.0183%, max:  1.3138e-01, min:  2.7978e-14, mean:  1.0135e-03, non_zero_mean:  1.0168e-03, 50%:  9.6751e-04, 75%:  1.2673e-03, 90%:  1.5800e-03, 95%:  1.7704e-03, 99%:  2.0573e-03
7:  0.0000%, max:  2.6918e-03, min:  0.0000e+00, mean:  1.0122e-03, non_zero_mean:  1.0164e-03, 50%:  9.7695e-04, 75%:  1.2888e-03, 90%:  1.6148e-03, 95%:  1.8281e-03, 99%:  2.1503e-03
8:  0.0000%, max:  2.8248e-03, min:  1.4901e-08, mean:  1.1044e-03, non_zero_mean:  1.1076e-03, 50%:  1.0756e-03, 75%:  1.4182e-03, 90%:  1.7538e-03, 95%:  1.9508e-03, 99%:  2.3004e-03
9:  0.0000%, max:  2.9514e-03, min:  6.7055e-08, mean:  1.1694e-03, non_zero_mean:  1.1714e-03, 50%:  1.1480e-03, 75%:  1.4783e-03, 90%:  1.8253e-03, 95%:  2.0385e-03, 99%:  2.3527e-03
10:  0.0000%, max:  2.9553e-03, min:  6.1062e-15, mean:  1.1708e-03, non_zero_mean:  1.1724e-03, 50%:  1.1426e-03, 75%:  1.4908e-03, 90%:  1.8502e-03, 95%:  2.0670e-03, 99%:  2.4049e-03
11:  0.0000%, max:  3.0852e-03, min:  5.9605e-08, mean:  1.1924e-03, non_zero_mean:  1.1941e-03, 50%:  1.1733e-03, 75%:  1.5101e-03, 90%:  1.8615e-03, 95%:  2.0504e-03, 99%:  2.3745e-03
12:  0.3296%, max:  3.0903e-01, min:  0.0000e+00, mean:  1.7408e-03, non_zero_mean:  1.7427e-03, 50%:  1.2011e-03, 75%:  1.5345e-03, 90%:  1.8790e-03, 95%:  2.0775e-03, 99%:  2.4603e-03
13:  0.0916%, max:  2.2849e-01, min:  8.3819e-08, mean:  1.3330e-03, non_zero_mean:  1.3341e-03, 50%:  1.2514e-03, 75%:  1.5969e-03, 90%:  1.9353e-03, 95%:  2.1441e-03, 99%:  2.4606e-03
14:  0.2563%, max:  2.3419e-01, min:  1.9185e-13, mean:  1.5804e-03, non_zero_mean:  1.5829e-03, 50%:  1.2293e-03, 75%:  1.5557e-03, 90%:  1.8852e-03, 95%:  2.1027e-03, 99%:  2.4524e-03
15:  0.2319%, max:  2.7508e-01, min:  0.0000e+00, mean:  1.5798e-03, non_zero_mean:  1.5817e-03, 50%:  1.2571e-03, 75%:  1.6024e-03, 90%:  1.9471e-03, 95%:  2.1608e-03, 99%:  2.5093e-03
16:  0.3113%, max:  2.5930e-01, min:  0.0000e+00, mean:  1.6097e-03, non_zero_mean:  1.6111e-03, 50%:  1.2735e-03, 75%:  1.6104e-03, 90%:  1.9684e-03, 95%:  2.1765e-03, 99%:  2.5376e-03
17:  0.4761%, max:  2.9480e-01, min:  5.9605e-08, mean:  1.8291e-03, non_zero_mean:  1.8309e-03, 50%:  1.2833e-03, 75%:  1.6277e-03, 90%:  1.9713e-03, 95%:  2.1705e-03, 99%:  2.5625e-03
18:  0.1526%, max:  2.8904e-01, min:  1.1921e-07, mean:  1.5594e-03, non_zero_mean:  1.5613e-03, 50%:  1.3337e-03, 75%:  1.6902e-03, 90%:  2.0455e-03, 95%:  2.2422e-03, 99%:  2.5712e-03
19:  0.1038%, max:  1.7236e-01, min:  0.0000e+00, mean:  1.4425e-03, non_zero_mean:  1.4441e-03, 50%:  1.3783e-03, 75%:  1.7473e-03, 90%:  2.1122e-03, 95%:  2.3301e-03, 99%:  2.6801e-03
20:  0.3784%, max:  3.2065e-01, min:  0.0000e+00, mean:  1.8007e-03, non_zero_mean:  1.8030e-03, 50%:  1.3691e-03, 75%:  1.7529e-03, 90%:  2.1317e-03, 95%:  2.3459e-03, 99%:  2.6999e-03
21:  1.0010%, max:  3.8249e-01, min:  1.1921e-07, mean:  3.1579e-03, non_zero_mean:  3.1618e-03, 50%:  1.4072e-03, 75%:  1.7890e-03, 90%:  2.1711e-03, 95%:  2.3896e-03, 99%:  6.7571e-03
